WRS2_TILE,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
p038r028,2011,0,0,0,0,1,1,1,2,2,2,1,0
p038r028,2016,0,1,1,0,1,4,2,3,0,1,1,0
p038r028,2017,0,0,0,1,4,2,4,3,1,0,0,0
p038r028,2018,0,0,0,2,1,0,2,1,1,1,0,0
p038r029,2011,0,0,0,0,1,1,1,2,2,1,0,0
p038r029,2016,0,0,0,0,1,4,3,3,0,0,1,0
p038r029,2017,0,0,1,1,1,2,4,3,1,0,0,0
p038r029,2018,0,0,0,2,1,0,2,2,2,1,0,0
p039r028,2011,0,0,0,1,0,1,2,2,1,2,1,0
p039r028,2016,0,0,1,1,2,1,3,4,1,0,1,0
p039r028,2017,0,0,0,1,1,2,4,2,1,2,0,0
p039r028,2018,0,0,0,2,1,0,0,2,4,1,1,0
p039r029,2011,0,0,0,0,0,1,2,2,1,2,1,0
p039r029,2016,0,0,0,1,1,2,3,3,1,1,1,0
p039r029,2017,0,0,0,1,1,2,4,2,1,3,0,0
p039r029,2018,0,0,0,1,2,1,0,2,4,1,1,0
